@relation linear_regression_finalmarks-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6

@attribute StudyHours {'\'(-inf-1.8]\'','\'(1.8-2.6]\'','\'(2.6-3.4]\'','\'(3.4-4.2]\'','\'(4.2-5]\'','\'(5-5.8]\'','\'(5.8-6.6]\'','\'(6.6-7.4]\'','\'(7.4-8.2]\'','\'(8.2-inf)\''}
@attribute Attendance {'\'(-inf-63.9]\'','\'(63.9-67.8]\'','\'(67.8-71.7]\'','\'(71.7-75.6]\'','\'(75.6-79.5]\'','\'(79.5-83.4]\'','\'(83.4-87.3]\'','\'(87.3-91.2]\'','\'(91.2-95.1]\'','\'(95.1-inf)\''}
@attribute InternalMarks {'\'(-inf-11.9]\'','\'(11.9-13.8]\'','\'(13.8-15.7]\'','\'(15.7-17.6]\'','\'(17.6-19.5]\'','\'(19.5-21.4]\'','\'(21.4-23.3]\'','\'(23.3-25.2]\'','\'(25.2-27.1]\'','\'(27.1-inf)\''}
@attribute Projects {'\'(-inf-1.3]\'','\'(1.3-1.6]\'','\'(1.6-1.9]\'','\'(1.9-2.2]\'','\'(2.2-2.5]\'','\'(2.5-2.8]\'','\'(2.8-3.1]\'','\'(3.1-3.4]\'','\'(3.4-3.7]\'','\'(3.7-inf)\''}
@attribute FinalMarks numeric

@data
'\'(1.8-2.6]\'','\'(91.2-95.1]\'','\'(15.7-17.6]\'','\'(1.9-2.2]\'',78.28
'\'(-inf-1.8]\'','\'(71.7-75.6]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',86.92
'\'(4.2-5]\'','\'(-inf-63.9]\'','\'(17.6-19.5]\'','\'(1.9-2.2]\'',65.09
'\'(4.2-5]\'','\'(91.2-95.1]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',88.36
'\'(6.6-7.4]\'','\'(91.2-95.1]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',83.39
'\'(8.2-inf)\'','\'(87.3-91.2]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',100
'\'(8.2-inf)\'','\'(71.7-75.6]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',95.65
'\'(2.6-3.4]\'','\'(71.7-75.6]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',83.09
'\'(2.6-3.4]\'','\'(75.6-79.5]\'','\'(19.5-21.4]\'','\'(1.9-2.2]\'',72.06
'\'(2.6-3.4]\'','\'(87.3-91.2]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',85.68
'\'(3.4-4.2]\'','\'(87.3-91.2]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',90.26
'\'(7.4-8.2]\'','\'(91.2-95.1]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',94.28
'\'(5.8-6.6]\'','\'(95.1-inf)\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',77.04
'\'(7.4-8.2]\'','\'(87.3-91.2]\'','\'(15.7-17.6]\'','\'(2.8-3.1]\'',80.5
'\'(-inf-1.8]\'','\'(87.3-91.2]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',77.87
'\'(7.4-8.2]\'','\'(71.7-75.6]\'','\'(19.5-21.4]\'','\'(1.9-2.2]\'',88.55
'\'(3.4-4.2]\'','\'(67.8-71.7]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',69.39
'\'(-inf-1.8]\'','\'(87.3-91.2]\'','\'(23.3-25.2]\'','\'(2.8-3.1]\'',79.02
'\'(7.4-8.2]\'','\'(83.4-87.3]\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',97.38
'\'(3.4-4.2]\'','\'(95.1-inf)\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',82.19
'\'(5.8-6.6]\'','\'(75.6-79.5]\'','\'(15.7-17.6]\'','\'(1.9-2.2]\'',75.78
'\'(7.4-8.2]\'','\'(63.9-67.8]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',85.07
'\'(3.4-4.2]\'','\'(-inf-63.9]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',65.38
'\'(2.6-3.4]\'','\'(87.3-91.2]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',85.33
'\'(8.2-inf)\'','\'(-inf-63.9]\'','\'(15.7-17.6]\'','\'(2.8-3.1]\'',71.77
'\'(2.6-3.4]\'','\'(71.7-75.6]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',73.58
'\'(8.2-inf)\'','\'(87.3-91.2]\'','\'(19.5-21.4]\'','\'(-inf-1.3]\'',80.26
'\'(1.8-2.6]\'','\'(-inf-63.9]\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',64.53
'\'(1.8-2.6]\'','\'(75.6-79.5]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',72.82
'\'(1.8-2.6]\'','\'(95.1-inf)\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',100
'\'(5.8-6.6]\'','\'(83.4-87.3]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',59.39
'\'(2.6-3.4]\'','\'(-inf-63.9]\'','\'(23.3-25.2]\'','\'(2.8-3.1]\'',78.58
'\'(8.2-inf)\'','\'(71.7-75.6]\'','\'(27.1-inf)\'','\'(-inf-1.3]\'',89.57
'\'(3.4-4.2]\'','\'(67.8-71.7]\'','\'(25.2-27.1]\'','\'(1.9-2.2]\'',78.85
'\'(-inf-1.8]\'','\'(71.7-75.6]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',76.49
'\'(3.4-4.2]\'','\'(79.5-83.4]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',79.53
'\'(-inf-1.8]\'','\'(-inf-63.9]\'','\'(19.5-21.4]\'','\'(1.9-2.2]\'',55.71
'\'(4.2-5]\'','\'(67.8-71.7]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',78.86
'\'(3.4-4.2]\'','\'(95.1-inf)\'','\'(19.5-21.4]\'','\'(1.9-2.2]\'',80.12
'\'(7.4-8.2]\'','\'(95.1-inf)\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',78.12
'\'(7.4-8.2]\'','\'(63.9-67.8]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',59.8
'\'(6.6-7.4]\'','\'(95.1-inf)\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',74.07
'\'(2.6-3.4]\'','\'(79.5-83.4]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',91.83
'\'(-inf-1.8]\'','\'(67.8-71.7]\'','\'(15.7-17.6]\'','\'(1.9-2.2]\'',42.43
'\'(-inf-1.8]\'','\'(71.7-75.6]\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',66.35
'\'(2.6-3.4]\'','\'(91.2-95.1]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',76.93
'\'(5.8-6.6]\'','\'(83.4-87.3]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',71.72
'\'(6.6-7.4]\'','\'(63.9-67.8]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',84.75
'\'(5.8-6.6]\'','\'(-inf-63.9]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',66.97
'\'(5.8-6.6]\'','\'(63.9-67.8]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',75.39
'\'(5.8-6.6]\'','\'(75.6-79.5]\'','\'(23.3-25.2]\'','\'(3.7-inf)\'',85.94
'\'(2.6-3.4]\'','\'(87.3-91.2]\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',64.75
'\'(5.8-6.6]\'','\'(67.8-71.7]\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',65.61
'\'(7.4-8.2]\'','\'(91.2-95.1]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',86.88
'\'(1.8-2.6]\'','\'(83.4-87.3]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',63.55
'\'(4.2-5]\'','\'(-inf-63.9]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',52.08
'\'(-inf-1.8]\'','\'(63.9-67.8]\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',47.05
'\'(-inf-1.8]\'','\'(63.9-67.8]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',58.46
'\'(4.2-5]\'','\'(63.9-67.8]\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',58.38
'\'(2.6-3.4]\'','\'(79.5-83.4]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',62.34
'\'(3.4-4.2]\'','\'(67.8-71.7]\'','\'(17.6-19.5]\'','\'(1.9-2.2]\'',58.6
'\'(2.6-3.4]\'','\'(91.2-95.1]\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',74.8
'\'(-inf-1.8]\'','\'(75.6-79.5]\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',76.73
'\'(-inf-1.8]\'','\'(91.2-95.1]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',87.45
'\'(4.2-5]\'','\'(75.6-79.5]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',84.29
'\'(5.8-6.6]\'','\'(75.6-79.5]\'','\'(15.7-17.6]\'','\'(2.8-3.1]\'',65.65
'\'(2.6-3.4]\'','\'(79.5-83.4]\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',63.24
'\'(8.2-inf)\'','\'(-inf-63.9]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',66.51
'\'(4.2-5]\'','\'(87.3-91.2]\'','\'(23.3-25.2]\'','\'(2.8-3.1]\'',95.19
'\'(7.4-8.2]\'','\'(91.2-95.1]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',79.19
'\'(-inf-1.8]\'','\'(95.1-inf)\'','\'(17.6-19.5]\'','\'(1.9-2.2]\'',62.35
'\'(4.2-5]\'','\'(71.7-75.6]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',82.05
'\'(2.6-3.4]\'','\'(83.4-87.3]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',63.26
'\'(-inf-1.8]\'','\'(67.8-71.7]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',62.45
'\'(3.4-4.2]\'','\'(-inf-63.9]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',64.59
'\'(4.2-5]\'','\'(71.7-75.6]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',88.35
'\'(6.6-7.4]\'','\'(95.1-inf)\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',87.45
'\'(-inf-1.8]\'','\'(91.2-95.1]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',76.46
'\'(2.6-3.4]\'','\'(67.8-71.7]\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',63.95
'\'(1.8-2.6]\'','\'(-inf-63.9]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',77.38
'\'(8.2-inf)\'','\'(83.4-87.3]\'','\'(19.5-21.4]\'','\'(-inf-1.3]\'',77.86
'\'(5.8-6.6]\'','\'(87.3-91.2]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',74.9
'\'(2.6-3.4]\'','\'(67.8-71.7]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',79.37
'\'(7.4-8.2]\'','\'(-inf-63.9]\'','\'(13.8-15.7]\'','\'(2.8-3.1]\'',77.13
'\'(7.4-8.2]\'','\'(83.4-87.3]\'','\'(27.1-inf)\'','\'(-inf-1.3]\'',84.42
'\'(1.8-2.6]\'','\'(91.2-95.1]\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',69.67
'\'(5.8-6.6]\'','\'(67.8-71.7]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',70.47
'\'(6.6-7.4]\'','\'(67.8-71.7]\'','\'(23.3-25.2]\'','\'(1.9-2.2]\'',81.83
'\'(1.8-2.6]\'','\'(71.7-75.6]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',60.19
'\'(1.8-2.6]\'','\'(95.1-inf)\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',92.98
'\'(-inf-1.8]\'','\'(83.4-87.3]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',65.1
'\'(7.4-8.2]\'','\'(63.9-67.8]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',68.75
'\'(-inf-1.8]\'','\'(67.8-71.7]\'','\'(13.8-15.7]\'','\'(2.8-3.1]\'',51.3
'\'(8.2-inf)\'','\'(91.2-95.1]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',77.1
'\'(5.8-6.6]\'','\'(79.5-83.4]\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',60.81
'\'(6.6-7.4]\'','\'(71.7-75.6]\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',57.33
'\'(6.6-7.4]\'','\'(95.1-inf)\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',86.19
'\'(2.6-3.4]\'','\'(63.9-67.8]\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',66.32
'\'(1.8-2.6]\'','\'(63.9-67.8]\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',78.35
'\'(8.2-inf)\'','\'(83.4-87.3]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',82.6
'\'(7.4-8.2]\'','\'(75.6-79.5]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',93.7
'\'(6.6-7.4]\'','\'(63.9-67.8]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',93.14
'\'(8.2-inf)\'','\'(95.1-inf)\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',94.1
'\'(3.4-4.2]\'','\'(71.7-75.6]\'','\'(15.7-17.6]\'','\'(1.9-2.2]\'',55.94
'\'(3.4-4.2]\'','\'(83.4-87.3]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',60.37
'\'(-inf-1.8]\'','\'(63.9-67.8]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',69.65
'\'(7.4-8.2]\'','\'(71.7-75.6]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',75.09
'\'(2.6-3.4]\'','\'(75.6-79.5]\'','\'(13.8-15.7]\'','\'(2.8-3.1]\'',55.87
'\'(6.6-7.4]\'','\'(95.1-inf)\'','\'(23.3-25.2]\'','\'(2.8-3.1]\'',96.77
'\'(1.8-2.6]\'','\'(87.3-91.2]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',92.44
'\'(1.8-2.6]\'','\'(87.3-91.2]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',59.15
'\'(6.6-7.4]\'','\'(-inf-63.9]\'','\'(-inf-11.9]\'','\'(1.9-2.2]\'',58.96
'\'(5.8-6.6]\'','\'(95.1-inf)\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',93.03
'\'(2.6-3.4]\'','\'(91.2-95.1]\'','\'(27.1-inf)\'','\'(-inf-1.3]\'',86.89
'\'(8.2-inf)\'','\'(95.1-inf)\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',96.49
'\'(5.8-6.6]\'','\'(83.4-87.3]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',94.08
'\'(5.8-6.6]\'','\'(71.7-75.6]\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',79.65
'\'(-inf-1.8]\'','\'(91.2-95.1]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',79.16
'\'(3.4-4.2]\'','\'(63.9-67.8]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',72.69
'\'(5.8-6.6]\'','\'(79.5-83.4]\'','\'(19.5-21.4]\'','\'(-inf-1.3]\'',68.08
'\'(5.8-6.6]\'','\'(75.6-79.5]\'','\'(13.8-15.7]\'','\'(2.8-3.1]\'',75.3
'\'(4.2-5]\'','\'(71.7-75.6]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',66.28
'\'(-inf-1.8]\'','\'(95.1-inf)\'','\'(27.1-inf)\'','\'(3.7-inf)\'',86.92
'\'(7.4-8.2]\'','\'(83.4-87.3]\'','\'(23.3-25.2]\'','\'(1.9-2.2]\'',96.7
'\'(4.2-5]\'','\'(91.2-95.1]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',85.94
'\'(4.2-5]\'','\'(71.7-75.6]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',53.94
'\'(6.6-7.4]\'','\'(83.4-87.3]\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',88.5
'\'(3.4-4.2]\'','\'(91.2-95.1]\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',74.66
'\'(5.8-6.6]\'','\'(83.4-87.3]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',82.45
'\'(3.4-4.2]\'','\'(95.1-inf)\'','\'(27.1-inf)\'','\'(3.7-inf)\'',96.98
'\'(2.6-3.4]\'','\'(63.9-67.8]\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',81.02
'\'(6.6-7.4]\'','\'(63.9-67.8]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',79.65
'\'(7.4-8.2]\'','\'(87.3-91.2]\'','\'(19.5-21.4]\'','\'(-inf-1.3]\'',92.75
'\'(3.4-4.2]\'','\'(79.5-83.4]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',69.72
'\'(1.8-2.6]\'','\'(67.8-71.7]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',41.82
'\'(2.6-3.4]\'','\'(87.3-91.2]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',74
'\'(-inf-1.8]\'','\'(87.3-91.2]\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',64.72
'\'(7.4-8.2]\'','\'(95.1-inf)\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',82.9
'\'(2.6-3.4]\'','\'(87.3-91.2]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',81.34
'\'(6.6-7.4]\'','\'(75.6-79.5]\'','\'(23.3-25.2]\'','\'(3.7-inf)\'',95.17
'\'(4.2-5]\'','\'(91.2-95.1]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',82.18
'\'(4.2-5]\'','\'(-inf-63.9]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',66.26
'\'(6.6-7.4]\'','\'(71.7-75.6]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',59.64
'\'(8.2-inf)\'','\'(71.7-75.6]\'','\'(23.3-25.2]\'','\'(2.8-3.1]\'',80.46
'\'(4.2-5]\'','\'(87.3-91.2]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',77.57
'\'(-inf-1.8]\'','\'(67.8-71.7]\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',67.45
'\'(-inf-1.8]\'','\'(95.1-inf)\'','\'(15.7-17.6]\'','\'(1.9-2.2]\'',72.13
'\'(1.8-2.6]\'','\'(-inf-63.9]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',60.8
'\'(5.8-6.6]\'','\'(87.3-91.2]\'','\'(23.3-25.2]\'','\'(3.7-inf)\'',87.61
'\'(8.2-inf)\'','\'(71.7-75.6]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',70.14
'\'(7.4-8.2]\'','\'(83.4-87.3]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',100
'\'(4.2-5]\'','\'(75.6-79.5]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',78.17
'\'(-inf-1.8]\'','\'(95.1-inf)\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',78.13
'\'(6.6-7.4]\'','\'(87.3-91.2]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',73.79
'\'(4.2-5]\'','\'(91.2-95.1]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',85.35
'\'(5.8-6.6]\'','\'(79.5-83.4]\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',74.36
'\'(6.6-7.4]\'','\'(91.2-95.1]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',93.64
'\'(2.6-3.4]\'','\'(63.9-67.8]\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',82.1
'\'(2.6-3.4]\'','\'(75.6-79.5]\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',65.39
'\'(4.2-5]\'','\'(87.3-91.2]\'','\'(25.2-27.1]\'','\'(1.9-2.2]\'',71.06
'\'(5.8-6.6]\'','\'(63.9-67.8]\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',76.7
'\'(8.2-inf)\'','\'(67.8-71.7]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',100
'\'(4.2-5]\'','\'(87.3-91.2]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',89.33
'\'(-inf-1.8]\'','\'(91.2-95.1]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',76.98
'\'(3.4-4.2]\'','\'(83.4-87.3]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',71.79
'\'(4.2-5]\'','\'(71.7-75.6]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',72.43
'\'(4.2-5]\'','\'(87.3-91.2]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',91.1
'\'(6.6-7.4]\'','\'(95.1-inf)\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',79.57
'\'(3.4-4.2]\'','\'(87.3-91.2]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',66.29
'\'(-inf-1.8]\'','\'(79.5-83.4]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',80.07
'\'(4.2-5]\'','\'(-inf-63.9]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',75.88
'\'(6.6-7.4]\'','\'(75.6-79.5]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',77.46
'\'(5.8-6.6]\'','\'(87.3-91.2]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',71.55
'\'(4.2-5]\'','\'(91.2-95.1]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',76
'\'(3.4-4.2]\'','\'(-inf-63.9]\'','\'(13.8-15.7]\'','\'(2.8-3.1]\'',55.22
'\'(1.8-2.6]\'','\'(83.4-87.3]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',59.85
'\'(3.4-4.2]\'','\'(75.6-79.5]\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',62.77
'\'(2.6-3.4]\'','\'(67.8-71.7]\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',56.13
'\'(-inf-1.8]\'','\'(79.5-83.4]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',77.49
'\'(7.4-8.2]\'','\'(75.6-79.5]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',66.47
'\'(4.2-5]\'','\'(67.8-71.7]\'','\'(-inf-11.9]\'','\'(1.9-2.2]\'',56.55
'\'(3.4-4.2]\'','\'(-inf-63.9]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',53.5
'\'(7.4-8.2]\'','\'(79.5-83.4]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',60.33
'\'(6.6-7.4]\'','\'(83.4-87.3]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',71.25
'\'(1.8-2.6]\'','\'(75.6-79.5]\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',77.05
'\'(-inf-1.8]\'','\'(71.7-75.6]\'','\'(19.5-21.4]\'','\'(-inf-1.3]\'',64.23
'\'(3.4-4.2]\'','\'(87.3-91.2]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',90.09
'\'(7.4-8.2]\'','\'(67.8-71.7]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',67.47
'\'(1.8-2.6]\'','\'(91.2-95.1]\'','\'(19.5-21.4]\'','\'(-inf-1.3]\'',72.57
'\'(2.6-3.4]\'','\'(91.2-95.1]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',75.05
'\'(-inf-1.8]\'','\'(67.8-71.7]\'','\'(15.7-17.6]\'','\'(1.9-2.2]\'',59.52
'\'(-inf-1.8]\'','\'(63.9-67.8]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',60
'\'(2.6-3.4]\'','\'(87.3-91.2]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',77.76
'\'(4.2-5]\'','\'(67.8-71.7]\'','\'(17.6-19.5]\'','\'(1.9-2.2]\'',68
'\'(2.6-3.4]\'','\'(91.2-95.1]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',79.57
'\'(-inf-1.8]\'','\'(63.9-67.8]\'','\'(23.3-25.2]\'','\'(3.7-inf)\'',69.82
'\'(-inf-1.8]\'','\'(71.7-75.6]\'','\'(17.6-19.5]\'','\'(1.9-2.2]\'',60.8
'\'(7.4-8.2]\'','\'(87.3-91.2]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',87.19
'\'(1.8-2.6]\'','\'(67.8-71.7]\'','\'(13.8-15.7]\'','\'(2.8-3.1]\'',60.82
'\'(2.6-3.4]\'','\'(79.5-83.4]\'','\'(19.5-21.4]\'','\'(-inf-1.3]\'',69.07
'\'(1.8-2.6]\'','\'(83.4-87.3]\'','\'(17.6-19.5]\'','\'(2.8-3.1]\'',62.06
'\'(2.6-3.4]\'','\'(91.2-95.1]\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',82.58
'\'(6.6-7.4]\'','\'(91.2-95.1]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',75.57
'\'(-inf-1.8]\'','\'(87.3-91.2]\'','\'(19.5-21.4]\'','\'(-inf-1.3]\'',74.12
'\'(7.4-8.2]\'','\'(-inf-63.9]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',95.61
'\'(1.8-2.6]\'','\'(75.6-79.5]\'','\'(25.2-27.1]\'','\'(1.9-2.2]\'',77.31
'\'(2.6-3.4]\'','\'(91.2-95.1]\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',74.13
'\'(8.2-inf)\'','\'(71.7-75.6]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',81.56
'\'(6.6-7.4]\'','\'(95.1-inf)\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',92.64
'\'(3.4-4.2]\'','\'(71.7-75.6]\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',58.67
'\'(4.2-5]\'','\'(87.3-91.2]\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',66.63
'\'(1.8-2.6]\'','\'(87.3-91.2]\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',66.31
'\'(7.4-8.2]\'','\'(67.8-71.7]\'','\'(23.3-25.2]\'','\'(1.9-2.2]\'',86.44
'\'(3.4-4.2]\'','\'(87.3-91.2]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',85.69
'\'(8.2-inf)\'','\'(-inf-63.9]\'','\'(19.5-21.4]\'','\'(1.9-2.2]\'',84.43
'\'(4.2-5]\'','\'(71.7-75.6]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',92.44
'\'(8.2-inf)\'','\'(75.6-79.5]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',83.43
'\'(3.4-4.2]\'','\'(79.5-83.4]\'','\'(23.3-25.2]\'','\'(3.7-inf)\'',80.48
'\'(4.2-5]\'','\'(67.8-71.7]\'','\'(15.7-17.6]\'','\'(2.8-3.1]\'',57.42
'\'(8.2-inf)\'','\'(83.4-87.3]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',81.04
'\'(7.4-8.2]\'','\'(-inf-63.9]\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',84.75
